"game_id","date_played","home","home_score","visitor","visitor_score","event","period_id","time","situation","game_winning","penalty_shot","x_location","y_location","scoring_team","goal.scorer","assist1","assist2"
24056,2019-09-20,"SOO",6,"FLNT",3,"goal",1,"2:48","EV",0,0,83,139,"SOO","Marc Boudreau","Alex Johnston","Dominic Mufarreh"
24056,2019-09-20,"SOO",6,"FLNT",3,"goal",1,"14:12","PP",0,0,93,149,"SOO","Tye Kartye","Robert Calisti","Jacob LeGuerrier"
24056,2019-09-20,"SOO",6,"FLNT",3,"goal",2,"4:38","EV",0,0,605,187,"SOO","Cullen McLean","Cole MacKay","Tanner Dickinson"
24056,2019-09-20,"SOO",6,"FLNT",3,"goal",2,"5:54","EV",0,0,128,229,"FLNT","Jake Durham","Cody Morgan",NA
24056,2019-09-20,"SOO",6,"FLNT",3,"goal",2,"6:11","EV",0,0,107,215,"FLNT","Connor Roberts","Jake Durham","Evgeniy Oksentyuk"
24056,2019-09-20,"SOO",6,"FLNT",3,"goal",2,"10:22","PP",1,0,531,259,"SOO","Ryan O'Rourke","Jaromir Pytlik","Ryan Roth"
24056,2019-09-20,"SOO",6,"FLNT",3,"goal",3,"1:18","EV",0,0,184,213,"SOO","Holden Wale","Jaromir Pytlik",NA
24056,2019-09-20,"SOO",6,"FLNT",3,"goal",3,"9:01","EV",0,0,620,223,"FLNT","Cody Morgan","Dennis Busby","Ethan Keppen"
24056,2019-09-20,"SOO",6,"FLNT",3,"goal",3,"13:14","EV",0,0,99,147,"SOO","Cullen McLean","Cole MacKay","Tanner Dickinson"
24062,2019-09-21,"SAG",1,"FLNT",4,"goal",1,"15:45","EV",0,0,159,134,"SAG","Cole Coskey","Camaryn Baber","Ilya Solovyov"
24062,2019-09-21,"SAG",1,"FLNT",4,"goal",1,"19:29","EV",0,0,613,196,"FLNT","Jake Durham","Evgeniy Oksentyuk","Dennis Busby"
24062,2019-09-21,"SAG",1,"FLNT",4,"goal",2,"8:23","EV",1,0,52,151,"FLNT","Jake Durham","Connor Roberts",NA
24062,2019-09-21,"SAG",1,"FLNT",4,"goal",3,"5:54","EV",0,0,651,243,"FLNT","Brennan Othmann","Evan Vierling","Hunter Holmes"
24062,2019-09-21,"SAG",1,"FLNT",4,"goal",3,"19:51","EN",0,0,611,159,"FLNT","Jake Durham","Vladislav Kolyachonok","Connor Roberts"
24079,2019-09-28,"FLNT",3,"NIAG",2,"goal",1,"2:08","EV",0,0,56,199,"FLNT","Evgeniy Oksentyuk","Evan Vierling","Connor Roberts"
24079,2019-09-28,"FLNT",3,"NIAG",2,"goal",1,"6:15","EV",0,0,67,139,"FLNT","Connor Roberts","Evan Vierling","Evgeniy Oksentyuk"
24079,2019-09-28,"FLNT",3,"NIAG",2,"goal",1,"11:52","PP",0,0,649,209,"NIAG","Oliver Castleman","Kyen Sopa","Philip Tomasino"
24079,2019-09-28,"FLNT",3,"NIAG",2,"goal",3,"8:15","EV",0,0,661,189,"NIAG","Jackson Doherty","Kyen Sopa","Philip Tomasino"
24083,2019-09-29,"FLNT",8,"SAR",5,"goal",1,"2:10","EV",0,0,157,119,"FLNT","Cody Morgan","Dennis Busby","Michael Bianconi"
24083,2019-09-29,"FLNT",8,"SAR",5,"goal",1,"13:19","EV",0,0,164,194,"FLNT","Vladislav Kolyachonok","Evan Vierling","Connor Roberts"
24083,2019-09-29,"FLNT",8,"SAR",5,"goal",1,"15:15","PP",0,0,57,206,"FLNT","Ty Dellandrea","Riley McCourt",NA
24083,2019-09-29,"FLNT",8,"SAR",5,"goal",1,"18:01","EV",0,0,72,214,"FLNT","Brennan Othmann","Ty Dellandrea","Riley McCourt"
24083,2019-09-29,"FLNT",8,"SAR",5,"goal",2,"7:04","PP",0,0,56,143,"SAR","Brayden Guy","Jacob Perreault","Eric Hjorth"
24083,2019-09-29,"FLNT",8,"SAR",5,"goal",2,"7:32","SH",0,0,620,164,"FLNT","Ethan Keppen",NA,NA
24083,2019-09-29,"FLNT",8,"SAR",5,"goal",2,"8:26","PP",0,0,70,157,"SAR","Jacob Perreault","Eric Hjorth","Sean Josling"
24083,2019-09-29,"FLNT",8,"SAR",5,"goal",2,"12:55","EV",1,0,624,231,"FLNT","Ethan Keppen","Braeden Kressler","Tyler Deline"
24083,2019-09-29,"FLNT",8,"SAR",5,"goal",2,"13:49","EV",0,0,60,132,"SAR","Sean Josling","Calvin Martin","Colton Kammerer"
24083,2019-09-29,"FLNT",8,"SAR",5,"goal",2,"18:13","EV",0,0,122,178,"SAR","Eric Hjorth","Sean Josling","Calvin Martin"
24083,2019-09-29,"FLNT",8,"SAR",5,"goal",3,"5:29","EV",0,0,63,143,"FLNT","Evan Vierling","Evgeniy Oksentyuk","Marcus Gretz"
24083,2019-09-29,"FLNT",8,"SAR",5,"goal",3,"6:43","SH",0,0,624,184,"SAR","Calvin Martin","Sean Josling",NA
24083,2019-09-29,"FLNT",8,"SAR",5,"goal",3,"7:49","PP",0,0,73,173,"FLNT","Evgeniy Oksentyuk","Evan Vierling","Vladislav Kolyachonok"
24092,2019-10-04,"GUE",3,"FLNT",4,"goal",1,"9:04","PP",0,0,490,302,"GUE","Daniil Chayka","Pavel Gogolev","Eric Uba"
24092,2019-10-04,"GUE",3,"FLNT",4,"goal",2,"2:00","EV",0,0,52,162,"GUE","Jacob Roach","Eric Uba","Andrei Bakanov"
24092,2019-10-04,"GUE",3,"FLNT",4,"goal",2,"2:41","EV",0,0,580,145,"FLNT","Evgeniy Oksentyuk","Connor Roberts",NA
24092,2019-10-04,"GUE",3,"FLNT",4,"goal",3,"2:11","PP",0,0,61,187,"FLNT","Connor Roberts","Vladislav Kolyachonok","Brennan Othmann"
24092,2019-10-04,"GUE",3,"FLNT",4,"goal",3,"11:12","EV",0,0,110,75,"FLNT","Jake Durham","Ty Dellandrea","Brennan Othmann"
24092,2019-10-04,"GUE",3,"FLNT",4,"goal",3,"18:14","EV",0,0,487,156,"GUE","Daniil Chayka","Fedor Gordeev","Pavel Gogolev"
24092,2019-10-04,"GUE",3,"FLNT",4,"goal",4,"2:56","EV",1,0,91,166,"FLNT","Riley McCourt","Evgeniy Oksentyuk","Anthony Popovich"
24102,2019-10-05,"OS",7,"FLNT",3,"goal",1,"1:03","EV",0,0,612,128,"OS","Matthew Philip","Brady Lyle","Carter Robertson"
24102,2019-10-05,"OS",7,"FLNT",3,"goal",1,"4:24","EV",0,0,554,130,"OS","Kaleb Pearson","Brady Lyle","Barret Kirwin"
24102,2019-10-05,"OS",7,"FLNT",3,"goal",1,"10:56","PP",0,0,98,140,"FLNT","Riley McCourt","Cody Morgan","Ty Dellandrea"
